report_id,date,site,location,report_type,activity,report_text,sif_potential,sif_confidence,life_saving_rule,precursor,hazard,barrier,barrier_failure,priority
SYN-0014,2024-09-23,Bongaigaon,Naharkatiya — Main Gate,Safety Observation,Working at Height — repairing an elevated platform,"During accessing a tank roof while preparing the job, harness was not attached to an anchor. The platform moved while being accessed. The deviation was identified early, before anyone was exposed to serious harm. The dropped-object zone was cleared.",No,0.829,Protect yourself against falls from height,Fall protection gap,fall or dropped-object exposure,Critical control,toe board was not installed,Low
SYN-0015,2025-10-29,Geleki,Duliajan — Workshop,Safety Observation,Driving / Vehicle Safety — reversing a service vehicle,"During transporting equipment on an access road after a change in the work sequence, journey plan was not reviewed. The vehicle nearly struck a pedestrian at the gate. The deviation was identified early, before anyone was exposed to serious harm. The journey was restarted only after the load was secured.",No,0.811,Drive defensively and use seat belts,Vehicle safety control gap,vehicle collision or load-shift exposure,Critical control,seat belt was not used,Medium
SYN-0016,2025-12-14,Naharkatiya,Bongaigaon — Tank Farm,Safety Observation,Lifting Operations — relocating a chemical drum,"During lifting a pump motor during a routine maintenance task, personnel entered the suspended-load zone. The load tilted unexpectedly above the work crew. The deviation was identified early, before anyone was exposed to serious harm. The route was cleared and barricaded.",No,0.895,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,lifting plan was not followed,Medium
SYN-0017,2024-03-14,Digboi,Duliajan — Tank Farm,Near Miss,Working at Height — repairing an elevated platform,"During repairing an elevated platform after a change in the work sequence, scaffold inspection tag was missing. The platform moved while being accessed. The condition created a credible potential for a fatal or permanently disabling event. The supervisor arranged a scaffold inspection.",Yes,0.913,Protect yourself against falls from height,Fall protection gap,fall or dropped-object exposure,Critical control,scaffold inspection tag was missing,High
SYN-0018,2024-07-29,Naharkatiya,Duliajan — Workshop,Near Miss,Energy Isolation — valve replacement,"During compressor servicing during the morning shift, missing zero-energy test. A valve was still connected to the live header. The condition created a credible potential for a fatal or permanently disabling event. The supervisor initiated a toolbox talk.",Yes,0.782,Verify isolation and zero energy,Isolation verification failure,unexpected energy release,Critical control,missing zero-energy test,High
SYN-0019,2024-05-30,Bongaigaon,Naharkatiya — Process Unit,Hazard Report,Driving / Vehicle Safety — reversing a service vehicle,"During transporting equipment on an access road during a routine maintenance task, seat belt was not used. The driver lost control on a wet bend. The deviation was identified early, before anyone was exposed to serious harm. The vehicle was removed from service for inspection.",No,0.802,Drive defensively and use seat belts,Vehicle safety control gap,vehicle collision or load-shift exposure,Critical control,journey plan was not reviewed,Medium
SYN-0020,2024-12-14,Naharkatiya,Naharkatiya — Process Unit,Near Miss,Line of Fire — handling a pressurized hose,"During loosening a seized flange while preparing the job, exclusion zone was not maintained. A suspended load swung across the access route. The condition created a credible potential for a fatal or permanently disabling event. The area was barricaded before continuing.",Yes,0.952,Position yourself outside the line of fire,Line-of-fire exposure,stored-energy or moving-object exposure,Critical control,spotter communication was unclear,High
SYN-0021,2024-11-29,Duliajan,Geleki — Workshop,Near Miss,Line of Fire — handling a pressurized hose,"During loosening a seized flange during the morning shift, spotter communication was unclear. The flange shifted suddenly toward the worker. The deviation was identified early, before anyone was exposed to serious harm. The crew stepped back and reassessed the task.",No,0.713,Position yourself outside the line of fire,Line-of-fire exposure,stored-energy or moving-object exposure,Critical control,stored energy was not assessed,Medium
SYN-0022,2025-01-05,Geleki,Duliajan — Workshop,Hazard Report,Energy Isolation — valve replacement,"During pump maintenance during the morning shift, lockout/tagout not verified. The pump unexpectedly started. The condition created a credible potential for a fatal or permanently disabling event. The line was depressurized before work resumed.",Yes,0.885,Verify isolation and zero energy,Isolation verification failure,unexpected energy release,Critical control,lockout/tagout not verified,High
SYN-0023,2024-06-11,Geleki,Bongaigaon — Main Gate,Safety Observation,Lifting Operations — relocating a chemical drum,"During relocating a chemical drum during a routine maintenance task, personnel entered the suspended-load zone. The load tilted unexpectedly above the work crew. The deviation was identified early, before anyone was exposed to serious harm. The load was lowered to a safe position.",No,0.854,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,sling inspection was overdue,Medium
SYN-0024,2025-06-13,Bongaigaon,Naharkatiya — Main Gate,Near Miss,Energy Isolation — pump maintenance,"During valve replacement after a change in the work sequence, incorrect isolation point. Residual pressure remained in the line. The condition created a credible potential for a fatal or permanently disabling event. The supervisor initiated a toolbox talk.",Yes,0.827,Verify isolation and zero energy,Isolation verification failure,unexpected energy release,Critical control,lockout/tagout not verified,High
SYN-0025,2025-03-23,Bongaigaon,Geleki — Process Unit,Near Miss,Hot Work — cutting a steel support,"During cutting a steel support after a change in the work sequence, gas test not repeated. Nearby oily rags began to smoulder. The condition created a credible potential for a fatal or permanently disabling event. A suitable fire extinguisher was positioned before restart.",Yes,0.928,Control ignition sources and combustible materials,Hot work control failure,ignition or flammable-material exposure,Critical control,combustibles not cleared from the work area,High
SYN-0026,2024-01-19,Naharkatiya,Bongaigaon — Main Gate,Near Miss,Driving / Vehicle Safety — reversing a service vehicle,"During driving between installations after a change in the work sequence, journey plan was not reviewed. A load shifted during transit. The deviation was identified early, before anyone was exposed to serious harm. The vehicle was removed from service for inspection.",No,0.838,Drive defensively and use seat belts,Vehicle safety control gap,vehicle collision or load-shift exposure,Critical control,seat belt was not used,Low
SYN-0027,2025-11-13,Digboi,Digboi — Main Gate,Near Miss,Hot Work — grinding near the workshop,"During grinding near the workshop during the morning shift, gas test not repeated. Flammable vapour was detected during the task. The condition created a credible potential for a fatal or permanently disabling event. The fire watch raised the alarm and work was stopped.",Yes,0.87,Control ignition sources and combustible materials,Hot work control failure,ignition or flammable-material exposure,Critical control,hot-work permit not displayed,High
SYN-0028,2024-03-06,Geleki,Naharkatiya — Pipeline Corridor,Hazard Report,Confined Space — inspection inside a vessel,"During entry into a sump during a routine maintenance task, continuous gas monitoring was unavailable. Oxygen readings fell below the safe limit. The condition created a credible potential for a fatal or permanently disabling event. The standby rescue team secured the area.",Yes,0.858,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,rescue plan was not briefed,High
SYN-0029,2025-04-14,Bongaigaon,Digboi — Pipeline Corridor,Safety Observation,Working at Height — repairing an elevated platform,"During installing cable tray at height while preparing the job, scaffold inspection tag was missing. The platform moved while being accessed. The deviation was identified early, before anyone was exposed to serious harm. The dropped-object zone was cleared.",No,0.79,Protect yourself against falls from height,Fall protection gap,fall or dropped-object exposure,Critical control,toe board was not installed,Low
SYN-0030,2024-11-30,Bongaigaon,Digboi — Process Unit,Hazard Report,Line of Fire — moving materials beside a pipe rack,"During handling a pressurized hose while preparing the job, exclusion zone was not maintained. The hose whipped when the coupling released. The deviation was identified early, before anyone was exposed to serious harm. The lifting activity was paused for a new briefing.",No,0.78,Position yourself outside the line of fire,Line-of-fire exposure,stored-energy or moving-object exposure,Critical control,stored energy was not assessed,Medium
SYN-0031,2024-06-27,Geleki,Bongaigaon — Main Gate,Safety Observation,Lifting Operations — relocating a chemical drum,"During loading a valve assembly after a change in the work sequence, lifting plan was not followed. The load passed over an occupied walkway. The condition created a credible potential for a fatal or permanently disabling event. The route was cleared and barricaded.",Yes,0.963,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,lifting plan was not followed,High
SYN-0032,2024-10-11,Digboi,Bongaigaon — Pipeline Corridor,Safety Observation,Working at Height — accessing a tank roof,"During accessing a tank roof during a routine maintenance task, scaffold inspection tag was missing. The worker slipped near an unprotected edge. The deviation was identified early, before anyone was exposed to serious harm. The dropped-object zone was cleared.",No,0.802,Protect yourself against falls from height,Fall protection gap,fall or dropped-object exposure,Critical control,harness was not attached to an anchor,Low
SYN-0033,2024-07-11,Duliajan,Geleki — Tank Farm,Safety Observation,Energy Isolation — pump maintenance,"During valve replacement during the morning shift, lockout/tagout not verified. The pump unexpectedly started. The condition created a credible potential for a fatal or permanently disabling event. The line was depressurized before work resumed.",Yes,0.937,Verify isolation and zero energy,Isolation verification failure,unexpected energy release,Critical control,incorrect isolation point,High
SYN-0034,2025-12-31,Bongaigaon,Bongaigaon — Tank Farm,Near Miss,Energy Isolation — valve replacement,"During valve replacement during a routine maintenance task, lockout/tagout not verified. Residual pressure remained in the line. The condition created a credible potential for a fatal or permanently disabling event. The technician stopped work and isolated the equipment.",Yes,0.827,Verify isolation and zero energy,Isolation verification failure,unexpected energy release,Critical control,incorrect isolation point,High
SYN-0035,2025-06-23,Geleki,Digboi — Tank Farm,Hazard Report,Energy Isolation — pump maintenance,"During compressor servicing during the morning shift, incorrect isolation point. Residual pressure remained in the line. The condition created a credible potential for a fatal or permanently disabling event. The line was depressurized before work resumed.",Yes,0.872,Verify isolation and zero energy,Isolation verification failure,unexpected energy release,Critical control,missing zero-energy test,High
SYN-0036,2025-12-22,Digboi,Bongaigaon — Main Gate,Near Miss,Energy Isolation — pump maintenance,"During compressor servicing after a change in the work sequence, missing zero-energy test. The pump unexpectedly started. The deviation was identified early, before anyone was exposed to serious harm. The supervisor initiated a toolbox talk.",No,0.907,Verify isolation and zero energy,Isolation verification failure,unexpected energy release,Critical control,lockout/tagout not verified,Medium
SYN-0037,2025-02-10,Bongaigaon,Geleki — Workshop,Near Miss,Energy Isolation — pump maintenance,"During valve replacement during a routine maintenance task, missing zero-energy test. Residual pressure remained in the line. The condition created a credible potential for a fatal or permanently disabling event. The supervisor initiated a toolbox talk.",Yes,0.858,Verify isolation and zero energy,Isolation verification failure,unexpected energy release,Critical control,missing zero-energy test,High
SYN-0038,2024-09-30,Digboi,Bongaigaon — Tank Farm,Hazard Report,Confined Space — inspection inside a vessel,"During cleaning a storage tank during a routine maintenance task, continuous gas monitoring was unavailable. The attendant lost radio contact with the entrant. The condition created a credible potential for a fatal or permanently disabling event. The entrant exited immediately and medical support was alerted.",Yes,0.786,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,rescue plan was not briefed,High
SYN-0039,2025-12-10,Geleki,Digboi — Main Gate,Near Miss,Lifting Operations — lifting a pump motor,"During relocating a chemical drum during a routine maintenance task, sling inspection was overdue. The load tilted unexpectedly above the work crew. The condition created a credible potential for a fatal or permanently disabling event. The banksman stopped the lift immediately.",Yes,0.969,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,personnel entered the suspended-load zone,High
SYN-0040,2024-04-20,Geleki,Duliajan — Main Gate,Near Miss,Hot Work — grinding near the workshop,"During welding on a process pipe while preparing the job, combustibles not cleared from the work area. Sparks travelled toward an open drain. The condition created a credible potential for a fatal or permanently disabling event. The area was made safe and retested.",Yes,0.935,Control ignition sources and combustible materials,Hot work control failure,ignition or flammable-material exposure,Critical control,gas test not repeated,High
SYN-0041,2024-02-03,Bongaigaon,Naharkatiya — Workshop,Near Miss,Energy Isolation — compressor servicing,"During pump maintenance while preparing the job, incorrect isolation point. A valve was still connected to the live header. The condition created a credible potential for a fatal or permanently disabling event. The supervisor initiated a toolbox talk.",Yes,0.913,Verify isolation and zero energy,Isolation verification failure,unexpected energy release,Critical control,missing zero-energy test,High
SYN-0042,2024-06-02,Digboi,Geleki — Pipeline Corridor,Safety Observation,Working at Height — accessing a tank roof,"During installing cable tray at height after a change in the work sequence, toe board was not installed. The platform moved while being accessed. The deviation was identified early, before anyone was exposed to serious harm. The dropped-object zone was cleared.",No,0.765,Protect yourself against falls from height,Fall protection gap,fall or dropped-object exposure,Critical control,toe board was not installed,Low
SYN-0043,2024-04-10,Geleki,Naharkatiya — Tank Farm,Hazard Report,Confined Space — cleaning a storage tank,"During entry into a sump during a routine maintenance task, continuous gas monitoring was unavailable. Oxygen readings fell below the safe limit. The deviation was identified early, before anyone was exposed to serious harm. The entrant exited immediately and medical support was alerted.",No,0.794,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,rescue plan was not briefed,Medium
SYN-0044,2025-03-08,Naharkatiya,Naharkatiya — Process Unit,Near Miss,Lifting Operations — loading a valve assembly,"During relocating a chemical drum while preparing the job, sling inspection was overdue. The load passed over an occupied walkway. The condition created a credible potential for a fatal or permanently disabling event. The load was lowered to a safe position.",Yes,0.828,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,lifting plan was not followed,High
SYN-0045,2025-02-25,Naharkatiya,Geleki — Process Unit,Hazard Report,Working at Height — installing cable tray at height,"During accessing a tank roof while preparing the job, toe board was not installed. The platform moved while being accessed. The deviation was identified early, before anyone was exposed to serious harm. Work stopped until a certified access system was provided.",No,0.777,Protect yourself against falls from height,Fall protection gap,fall or dropped-object exposure,Critical control,harness was not attached to an anchor,Medium
SYN-0046,2025-11-25,Naharkatiya,Bongaigaon — Main Gate,Near Miss,Hot Work — grinding near the workshop,"During grinding near the workshop during a routine maintenance task, combustibles not cleared from the work area. Flammable vapour was detected during the task. The condition created a credible potential for a fatal or permanently disabling event. A suitable fire extinguisher was positioned before restart.",Yes,0.789,Control ignition sources and combustible materials,Hot work control failure,ignition or flammable-material exposure,Critical control,hot-work permit not displayed,High
SYN-0047,2025-01-31,Naharkatiya,Digboi — Main Gate,Hazard Report,Confined Space — inspection inside a vessel,"During entry into a sump during the morning shift, entry permit was incomplete. Oxygen readings fell below the safe limit. The condition created a credible potential for a fatal or permanently disabling event. The entrant exited immediately and medical support was alerted.",Yes,0.842,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,rescue plan was not briefed,High
SYN-0048,2025-07-13,Digboi,Digboi — Pipeline Corridor,Hazard Report,Confined Space — entry into a sump,"During inspection inside a vessel during a routine maintenance task, continuous gas monitoring was unavailable. A worker reported dizziness inside the vessel. The condition created a credible potential for a fatal or permanently disabling event. The entrant exited immediately and medical support was alerted.",Yes,0.939,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,continuous gas monitoring was unavailable,High
SYN-0049,2025-10-03,Geleki,Duliajan — Pipeline Corridor,Near Miss,Energy Isolation — pump maintenance,"During valve replacement while preparing the job, missing zero-energy test. Residual pressure remained in the line. The condition created a credible potential for a fatal or permanently disabling event. The supervisor initiated a toolbox talk.",Yes,0.81,Verify isolation and zero energy,Isolation verification failure,unexpected energy release,Critical control,incorrect isolation point,High
SYN-0050,2024-06-11,Duliajan,Geleki — Pipeline Corridor,Safety Observation,Line of Fire — moving materials beside a pipe rack,"During handling a pressurized hose during a routine maintenance task, spotter communication was unclear. A suspended load swung across the access route. The deviation was identified early, before anyone was exposed to serious harm. The area was barricaded before continuing.",No,0.726,Position yourself outside the line of fire,Line-of-fire exposure,stored-energy or moving-object exposure,Critical control,spotter communication was unclear,Medium
SYN-0051,2024-10-09,Duliajan,Duliajan — Main Gate,Safety Observation,Driving / Vehicle Safety — driving between installations,"During driving between installations during the morning shift, journey plan was not reviewed. The driver lost control on a wet bend. The deviation was identified early, before anyone was exposed to serious harm. The driver stopped and reported the near miss.",No,0.73,Drive defensively and use seat belts,Vehicle safety control gap,vehicle collision or load-shift exposure,Critical control,seat belt was not used,Medium
SYN-0052,2025-01-26,Geleki,Geleki — Pipeline Corridor,Near Miss,Line of Fire — handling a pressurized hose,"During handling a pressurized hose during a routine maintenance task, exclusion zone was not maintained. A suspended load swung across the access route. The condition created a credible potential for a fatal or permanently disabling event. The crew stepped back and reassessed the task.",Yes,0.803,Position yourself outside the line of fire,Line-of-fire exposure,stored-energy or moving-object exposure,Critical control,spotter communication was unclear,High
SYN-0053,2024-10-23,Naharkatiya,Digboi — Tank Farm,Safety Observation,Lifting Operations — lifting a pump motor,"During loading a valve assembly after a change in the work sequence, lifting plan was not followed. A sling strand began to separate. The condition created a credible potential for a fatal or permanently disabling event. The load was lowered to a safe position.",Yes,0.925,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,personnel entered the suspended-load zone,High
SYN-0054,2024-12-18,Digboi,Geleki — Tank Farm,Near Miss,Driving / Vehicle Safety — driving between installations,"During driving between installations during a routine maintenance task, journey plan was not reviewed. A load shifted during transit. The deviation was identified early, before anyone was exposed to serious harm. The driver stopped and reported the near miss.",No,0.816,Drive defensively and use seat belts,Vehicle safety control gap,vehicle collision or load-shift exposure,Critical control,seat belt was not used,Low
SYN-0055,2025-04-08,Digboi,Bongaigaon — Main Gate,Safety Observation,Energy Isolation — valve replacement,"During pump maintenance after a change in the work sequence, incorrect isolation point. A valve was still connected to the live header. The condition created a credible potential for a fatal or permanently disabling event. The line was depressurized before work resumed.",Yes,0.87,Verify isolation and zero energy,Isolation verification failure,unexpected energy release,Critical control,missing zero-energy test,High
SYN-0056,2024-02-09,Bongaigaon,Duliajan — Pipeline Corridor,Safety Observation,Driving / Vehicle Safety — transporting equipment on an access road,"During transporting equipment on an access road while preparing the job, reversing alarm was not working. A load shifted during transit. The condition created a credible potential for a fatal or permanently disabling event. The vehicle was removed from service for inspection.",Yes,0.903,Drive defensively and use seat belts,Vehicle safety control gap,vehicle collision or load-shift exposure,Critical control,seat belt was not used,High
SYN-0057,2025-03-25,Digboi,Naharkatiya — Tank Farm,Near Miss,Working at Height — installing cable tray at height,"During installing cable tray at height after a change in the work sequence, scaffold inspection tag was missing. A tool fell to the level below. The deviation was identified early, before anyone was exposed to serious harm. The dropped-object zone was cleared.",No,0.869,Protect yourself against falls from height,Fall protection gap,fall or dropped-object exposure,Critical control,toe board was not installed,Low
SYN-0058,2024-04-22,Digboi,Naharkatiya — Workshop,Near Miss,Confined Space — cleaning a storage tank,"During cleaning a storage tank during the morning shift, rescue plan was not briefed. A worker reported dizziness inside the vessel. The deviation was identified early, before anyone was exposed to serious harm. The entrant exited immediately and medical support was alerted.",No,0.92,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,continuous gas monitoring was unavailable,Low
SYN-0059,2024-01-24,Duliajan,Duliajan — Pipeline Corridor,Near Miss,Hot Work — welding on a process pipe,"During welding on a process pipe during the morning shift, hot-work permit not displayed. Flammable vapour was detected during the task. The deviation was identified early, before anyone was exposed to serious harm. The fire watch raised the alarm and work was stopped.",No,0.876,Control ignition sources and combustible materials,Hot work control failure,ignition or flammable-material exposure,Critical control,gas test not repeated,Medium
SYN-0060,2024-07-21,Digboi,Duliajan — Pipeline Corridor,Hazard Report,Lifting Operations — loading a valve assembly,"During relocating a chemical drum after a change in the work sequence, lifting plan was not followed. A sling strand began to separate. The deviation was identified early, before anyone was exposed to serious harm. The load was lowered to a safe position.",No,0.903,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,personnel entered the suspended-load zone,Medium
SYN-0061,2024-11-25,Digboi,Bongaigaon — Pipeline Corridor,Hazard Report,Driving / Vehicle Safety — reversing a service vehicle,"During driving between installations after a change in the work sequence, reversing alarm was not working. A load shifted during transit. The deviation was identified early, before anyone was exposed to serious harm. The vehicle was removed from service for inspection.",No,0.806,Drive defensively and use seat belts,Vehicle safety control gap,vehicle collision or load-shift exposure,Critical control,reversing alarm was not working,Low
SYN-0062,2024-11-19,Geleki,Geleki — Main Gate,Near Miss,Line of Fire — handling a pressurized hose,"During loosening a seized flange during a routine maintenance task, stored energy was not assessed. The flange shifted suddenly toward the worker. The deviation was identified early, before anyone was exposed to serious harm. The area was barricaded before continuing.",No,0.868,Position yourself outside the line of fire,Line-of-fire exposure,stored-energy or moving-object exposure,Critical control,stored energy was not assessed,Low
SYN-0063,2024-03-15,Duliajan,Naharkatiya — Main Gate,Safety Observation,Confined Space — inspection inside a vessel,"During inspection inside a vessel after a change in the work sequence, continuous gas monitoring was unavailable. A worker reported dizziness inside the vessel. The condition created a credible potential for a fatal or permanently disabling event. The standby rescue team secured the area.",Yes,0.955,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,rescue plan was not briefed,High
SYN-0064,2025-02-20,Naharkatiya,Geleki — Tank Farm,Near Miss,Hot Work — welding on a process pipe,"During cutting a steel support while preparing the job, hot-work permit not displayed. Nearby oily rags began to smoulder. The condition created a credible potential for a fatal or permanently disabling event. The area was made safe and retested.",Yes,0.808,Control ignition sources and combustible materials,Hot work control failure,ignition or flammable-material exposure,Critical control,combustibles not cleared from the work area,High
SYN-0065,2024-10-11,Digboi,Bongaigaon — Process Unit,Near Miss,Hot Work — cutting a steel support,"During welding on a process pipe during the morning shift, combustibles not cleared from the work area. Sparks travelled toward an open drain. The deviation was identified early, before anyone was exposed to serious harm. A suitable fire extinguisher was positioned before restart.",No,0.815,Control ignition sources and combustible materials,Hot work control failure,ignition or flammable-material exposure,Critical control,gas test not repeated,Medium
SYN-0066,2025-05-13,Naharkatiya,Duliajan — Process Unit,Safety Observation,Lifting Operations — relocating a chemical drum,"During loading a valve assembly during a routine maintenance task, lifting plan was not followed. A sling strand began to separate. The condition created a credible potential for a fatal or permanently disabling event. The banksman stopped the lift immediately.",Yes,0.823,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,personnel entered the suspended-load zone,High
SYN-0067,2025-06-08,Bongaigaon,Bongaigaon — Workshop,Hazard Report,Confined Space — inspection inside a vessel,"During inspection inside a vessel while preparing the job, continuous gas monitoring was unavailable. The attendant lost radio contact with the entrant. The condition created a credible potential for a fatal or permanently disabling event. The entrant exited immediately and medical support was alerted.",Yes,0.897,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,entry permit was incomplete,High
SYN-0068,2024-04-04,Naharkatiya,Duliajan — Workshop,Safety Observation,Line of Fire — loosening a seized flange,"During handling a pressurized hose during the morning shift, stored energy was not assessed. The flange shifted suddenly toward the worker. The condition created a credible potential for a fatal or permanently disabling event. The crew stepped back and reassessed the task.",Yes,0.888,Position yourself outside the line of fire,Line-of-fire exposure,stored-energy or moving-object exposure,Critical control,exclusion zone was not maintained,High
SYN-0069,2025-01-08,Bongaigaon,Digboi — Pipeline Corridor,Safety Observation,Energy Isolation — pump maintenance,"During compressor servicing during a routine maintenance task, missing zero-energy test. A valve was still connected to the live header. The condition created a credible potential for a fatal or permanently disabling event. The supervisor initiated a toolbox talk.",Yes,0.817,Verify isolation and zero energy,Isolation verification failure,unexpected energy release,Critical control,missing zero-energy test,High
SYN-0070,2025-11-03,Naharkatiya,Geleki — Workshop,Hazard Report,Confined Space — cleaning a storage tank,"During entry into a sump while preparing the job, rescue plan was not briefed. A worker reported dizziness inside the vessel. The condition created a credible potential for a fatal or permanently disabling event. The standby rescue team secured the area.",Yes,0.896,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,entry permit was incomplete,High
